Year,Top 0.001% Baseline Estimate,"Top 0.001% Equal Return, Individual (PSZ 2018, Extended)",Top 0.001% Harmonized SCF,Top 0.001% Harmonized SCF with Forbes,Top 0.001% Revised Saez Zucman (2020),Top 0.01% Baseline Estimate,"Top 0.01% Equal Return, Individual (PSZ 2018, Extended)",Top 0.01% Harmonized SCF,Top 0.01% Harmonized SCF with Forbes,Top 0.01% Revised Saez Zucman (2020),Top 0.1% Baseline Estimate,"Top 0.1% Equal Return, Individual (PSZ 2018, Extended)",Top 0.1% Harmonized SCF,Top 0.1% Harmonized SCF with Forbes,Top 0.1% Revised Saez Zucman (2020),Top 1% Baseline Estimate,"Top 1% Equal Return, Individual (PSZ 2018, Extended)",Top 1% Harmonized SCF,Top 1% Harmonized SCF with Forbes,Top 1% Revised Saez Zucman (2020)
1966,1.325383,1.599035,,,1.164662,3.818894,3.081582,,,3.4796089,10.64437,9.376324,,,10.051151,28.57328,26.66081,,,27.764845
1967,1.245679,1.427186,,,1.084278,3.685351,2.7955,,,3.4378175,10.43729,8.721796,,,10.075988,28.58213,26.02538,,,28.093009
1968,1.35921,1.671425,,,1.174576,3.95008,3.046761,,,3.5693762,11.35781,9.363502,,,10.367688,29.52657,27.42387,,,28.487902
1969,1.269829,1.821406,,,1.166107,3.727125,3.119034,,,3.4488214,10.33732,9.258185,,,9.9248204,27.65001,26.03036,,,27.473694
1970,1.15405,1.41637,,,1.043724,3.437433,2.923288,,,3.2600037,9.803687,8.87263,,,9.4940628,27.41992,25.93451,,,26.868779
1971,1.10829,1.318947,,,1.043304,3.330408,2.715268,,,3.1992289,9.657628,8.517102,,,9.3600084,27.23818,25.52504,,,26.648267
1972,1.157475,1.421475,,,1.072854,3.377584,2.670433,,,3.0771479,9.710439,8.252084,,,9.0469019,27.50165,24.87734,,,26.212687
1973,0.9454783,1.063268,,,0.8693129,2.928024,2.276234,,,2.765559,8.815775,7.410722,,,8.3754644,26.41761,23.67225,,,25.238193
1974,0.7509686,0.8712693,,,0.7521464,2.489102,2.204391,,,2.524793,8.020453,7.292292,,,7.8289809,25.12131,23.41084,,,24.287353
1975,0.6938902,0.8048428,,,0.771782,2.289561,2.125596,,,2.4270127,7.615912,6.982459,,,7.4727603,24.25801,22.92893,,,23.580814
1976,0.7602352,0.841328,,,0.7728557,2.363027,2.07997,,,2.3384982,7.39149,6.546415,,,7.1318401,23.55308,21.86544,,,22.881422
1977,0.7592301,0.8367749,,,0.7352344,2.391555,2.063029,,,2.2871558,7.563649,6.688673,,,7.0310724,23.77026,22.08641,,,22.516495
1978,0.7128521,0.7477855,,,0.7168051,2.266879,1.986315,,,2.3576474,7.139575,6.429527,,,7.0853436,22.73857,21.19507,,,22.337938
1979,0.7966338,0.9956937,,,0.9555723,2.439825,2.364388,,,2.6881484,7.641205,7.169839,,,7.7215381,23.42682,22.40915,,,23.233667
1980,0.7883993,0.9127072,,,0.853573,2.550611,2.337624,,,2.6590137,7.878557,7.28437,,,7.7914879,23.56211,22.53651,,,23.241162
1981,0.9504858,1.105659,,,0.9846032,2.899207,2.698998,,,2.9273605,8.510697,8.018106,,,8.3511591,24.08648,23.38329,,,23.891985
1982,0.9147633,1.070351,,,1.419387,2.959715,2.886748,,,3.5057269,8.697323,8.488748,,,9.0630502,24.25961,23.76531,,,24.481912
1983,0.9460079,1.049384,,,1.628591,3.000443,2.731657,,,3.7288632,8.583299,8.005282,,,9.0811975,23.50579,22.6883,,,23.919849
1984,0.9754168,1.116628,,,1.635049,3.032671,2.926567,,,3.7874181,8.726926,8.471627,,,9.2490226,23.45366,22.96888,,,24.129161
1985,0.9225471,1.04953,,,1.595807,3.111681,3.111381,,,4.0352702,9.254627,8.76375,,,9.8278716,23.82697,23.09526,,,24.692142
1986,0.980724,1.107449,,,1.65446,3.02929,2.955473,,,3.8401656,9.055758,8.358802,,,9.718173,24.16718,22.93006,,,24.926366
1987,1.203781,1.324933,,,2.089875,3.604028,3.413374,,,4.6328355,9.887222,9.306712,,,10.798268,25.4341,24.59951,,,26.571497
1988,1.482006,1.610769,,,2.094111,4.224342,4.200196,,,5.1274575,11.1452,10.92877,,,12.140877,26.94641,26.48568,,,28.404653
1989,1.455264,1.558764,0.6810844,2.086638,2.242113,4.178954,4.097645,3.594599,4.96572,5.1602017,11.09906,10.70681,10.30972,11.58533,12.073401,27.11375,26.57449,28.94634,29.95617,28.534365
1990,1.389506,1.530393,,,2.204082,3.988932,4.142005,,,5.1707201,10.45601,10.79382,,,12.053005,25.69386,26.65736,,,28.526384
1991,1.361757,1.508854,,,2.204858,3.843874,3.965532,,,4.9994398,10.11569,10.32285,,,11.713877,25.26392,25.99256,,,27.968702
1992,1.489855,1.740222,1.091242,2.60031,2.29873,4.226561,4.487871,3.723071,5.191984,5.4368936,10.78242,11.38218,10.59321,11.97609,12.477423,26.09244,27.56919,28.55537,29.64541,29.078445
1993,1.498608,1.850292,,,2.30775,4.184362,4.657729,,,5.4636363,10.6031,11.5118,,,12.417895,25.89907,27.66944,,,28.993544
1994,1.491118,1.900738,,,2.34508,4.115436,4.551286,,,5.4530021,10.45081,11.41959,,,12.422034,25.44511,27.61741,,,28.889444
1995,1.606209,1.886295,0.8744146,2.539438,2.492246,4.332297,4.671762,3.596626,5.215924,5.651594,10.85596,11.63254,12.30044,13.77354,12.636407,25.84951,27.90851,32.47047,33.60477,28.849784
1996,1.741589,2.145392,,,2.734633,4.69692,5.024759,,,6.1436005,11.39546,12.25224,,,13.215771,26.55761,28.58018,,,29.546711
1997,1.84171,2.298131,,,3.121937,5.005478,5.301473,,,6.6797286,12.02083,12.99297,,,14.015123,27.36551,29.46491,,,30.456591
1998,2.051008,2.533372,1.101784,3.319634,3.344279,5.544501,5.599867,4.204637,6.352903,7.0786357,13.21002,13.64274,11.52745,13.5115,14.764595,29.16489,30.6913,31.43682,32.98314,31.469327
1999,2.105269,2.765517,,,3.618202,5.683265,5.851314,,,7.4642874,13.43472,14.15322,,,15.1639,29.36102,31.47542,,,31.767353
2000,2.29903,2.892249,,,4.356388,6.056028,6.41328,,,8.2311884,13.99177,14.92086,,,15.934913,29.95907,32.29493,,,32.350701
2001,2.334245,2.976387,0.6833792,2.732219,3.620574,5.882973,6.581311,3.075696,5.075184,7.6598458,13.42881,14.71703,10.11437,11.96866,15.503381,28.88951,31.33905,30.58221,32.01426,31.903502
2002,2.037371,2.753544,,,3.433006,5.168118,5.926605,,,7.2589748,12.40793,13.57137,,,14.931162,28.32304,30.16329,,,31.394565
2003,2.094999,2.838199,,,3.491057,5.279439,6.093621,,,7.3318899,12.67169,13.60668,,,14.955559,29.17049,30.32571,,,31.378078
2004,2.363636,3.017869,0.7737888,2.599383,3.298805,5.737098,6.532138,3.416217,5.193195,7.3582597,13.56671,14.5749,10.90454,12.54401,15.284713,30.29878,31.48138,31.39432,32.65654,31.844848
2005,2.37187,3.148663,,,3.240809,5.99505,6.916786,,,7.5127788,13.96267,15.24278,,,15.708567,30.77922,32.08319,,,32.629475
2006,2.456357,3.240076,,,3.346318,6.214835,7.139372,,,7.6661214,14.31472,15.66083,,,16.105802,31.09388,32.82708,,,33.056706
2007,2.820272,3.736768,0.7936371,2.96708,4.225067,6.757388,7.917116,3.619954,5.731477,8.5516967,15.07652,16.62073,11.53895,13.4773,16.88257,31.85219,33.96563,31.81999,33.31369,33.572224
2008,3.019891,4.140689,,,4.224872,6.974572,8.639771,,,8.8797532,15.36484,17.84482,,,17.232594,32.51612,36.09618,,,33.836859
2009,2.989601,4.574684,,,3.189238,6.691656,9.220032,,,8.0107212,14.85467,18.0138,,,16.114466,32.11138,36.15779,,,32.98074
2010,3.328472,5.283055,0.9683503,3.106913,2.235542,7.389795,10.18173,3.897826,5.973127,8.2634553,15.77297,19.61169,11.57323,13.48278,17.005962,33.34597,37.57019,32.56861,34.02477,34.214202
2011,2.829446,4.683903,,,3.878191,6.878395,9.407871,,,9.0080164,15.39644,19.03169,,,17.909668,33.22073,37.43076,,,35.274515
2012,3.425288,5.240266,,,3.793661,7.572582,10.24861,,,9.3932442,16.32723,20.21384,,,18.816943,34.42155,38.84484,,,36.55951
2013,3.180127,5.183368,1.191301,3.94982,4.101217,7.159003,9.843789,4.107616,6.784719,9.3519308,15.51438,19.10971,12.3379,14.78523,18.323338,33.10442,37.01735,33.32508,35.1865,36.085072
2014,3.374966,5.069103,,,4.190736,7.430356,9.703089,,,9.3665428,15.94387,19.0814,,,18.484218,33.65948,37.23959,,,36.55329
2015,3.258011,5.056044,,,4.32438,7.33161,9.547836,,,9.4833784,16.12858,19.02049,,,18.677157,34.12862,37.17347,,,36.625704
2016,3.18642,5.073363,1.32133,3.831231,4.071749,7.116047,9.485113,5.058538,7.473384,9.2749864,15.72645,18.63557,13.87146,16.06248,18.420546,33.6999,36.59969,37.04311,38.64442,36.265275
2017,,,,,4.493883,,,,,9.7204365,,,,,18.347269,,,,,35.556054
2018,,,,,4.753659,,,,,9.5752083,,,,,18.163766,,,,,35.359186
2019,,,1.295018,4.062661,4.370059,,,4.756201,7.426794,9.2996277,,,13.21809,15.65141,18.023017,,,35.09094,36.90868,35.310495
